CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,word_count,negative_score,positive_score,polarity_point,Avg_sent_lenght,complex_word_count,percentage_of_complex_words,uncertainty_score,constraining_score,fog_index,positive_word_proportion,negative_word_proportion,uncertainity_word_proportion,constraining_word_proportion,constraining_words_whole_report
4457,AMERCO /NV/,200006,2000-06-29,10-K,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000067.txt,50318,486,1133,-0.3996294006178941,16.834392773502845,21721,0.4316745498628721,577,463,6.906426929346288,0.009658571485353155,0.02251679319527803,0.011467069438371955,0.009201478596128621,7.012253117196407e-05
4457,AMERCO /NV/,200008,2000-08-11,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000080.txt,3831,22,63,-0.4823529355017302,17.81860465116279,1627,0.424693291568781,30,23,7.2973191770926285,0.005742625946228139,0.01644479248238058,0.007830853563038372,0.006003654398329418,3.483408675929101e-06
4457,AMERCO /NV/,200011,2000-11-13,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000105.txt,10908,71,238,-0.5404530726846178,16.602739726027398,4290,0.3932893289328933,98,79,6.798411621984117,0.006508984231756509,0.02181884855152182,0.008984231756508984,0.007242390905757242,1.1964751539060824e-05
4457,AMERCO /NV/,200102,2001-02-14,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500024.txt,9102,58,231,-0.5986159148836819,15.802083333333334,3683,0.4046363436607339,81,55,6.482687870797628,0.0063722258844210065,0.025379037574159526,0.008899143045484509,0.006042627993847506,8.329890312004372e-06
4457,AMERCO /NV/,200107,2001-07-02,10-K,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500063.txt,18323,121,408,-0.5425330802598618,16.657272727272726,7475,0.4079572122469028,206,121,6.826091975807852,0.006603722097909731,0.02226709599956339,0.011242700431152103,0.006603722097909731,1.8325758686409617e-05
4457,AMERCO /NV/,200107,2001-07-02,NT 10-K,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500060.txt,650,2,10,-0.6666666111111158,22.413793103448278,204,0.31384615384615383,6,5,9.091055702917773,0.003076923076923077,0.015384615384615385,0.009230769230769232,0.007692307692307693,7.572627556367611e-07
4457,AMERCO /NV/,200108,2001-08-10,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500081.txt,3433,16,48,-0.49999999218750013,15.967441860465117,1498,0.4363530439848529,40,27,6.561517961779988,0.00466064666472473,0.013981939994174191,0.011651616661811826,0.007864841246722983,4.0892188804385094e-06
4457,AMERCO /NV/,200108,2001-08-10,10-Q/A,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500083.txt,4682,22,136,-0.7215189827751963,15.92517006802721,2065,0.4410508329773601,38,19,6.5464883604018285,0.004698846646732166,0.029047415634344296,0.008116189662537377,0.004058094831268688,2.877598471419692e-06
4515,AMERICAN AIRLINES INC,200810,2008-10-16,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-08-000073.txt,17612,130,751,-0.7048808164530297,18.063589743589745,8943,0.5077787871905519,311,274,7.42854741231212,0.007381330910742675,0.042641380876674996,0.017658414717238245,0.015557574381103794,4.149799900889451e-05
4515,AMERICAN AIRLINES INC,200902,2009-02-19,10-K,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000008.txt,69734,697,2533,-0.5684210524555973,14.345607899609133,36321,0.520850661083546,865,794,5.9465834242770725,0.009995124329595319,0.0363237445148708,0.01240427911779046,0.011386124415636563,0.00012025332559511766
